State,District,Township,ElectionType,Candidate,Party,Votes,Election,AdvanceVote,Gender
Shan,Loilen,Kyethi c2,Region/State,U Khin Maung Nyunt,SNLD,7832,2017,238,M
Shan,Loilen,Kyethi c2,Region/State,_noshow,,14458,2017,,
Shan,Loilen,Monghsu,Pyithu,Nan Khan Yin Aung,SNDP,868,2017,28,M
Shan,Loilen,Monghsu,Pyithu,U Win Naing,NLD,3190,2017,172,M
Shan,Loilen,Monghsu,Pyithu,_invalid,,3351,2017,,
Shan,Loilen,Monghsu,Pyithu,U Kyaw Tin Shwe,USDP,3484,2017,575,M
Shan,Loilen,Monghsu,Pyithu,Sai Win Aye (aka) Sai Tun Aye,SNLD,10216,2017,396,M
Shan,Loilen,Monghsu,Pyithu,_noshow,,24987,2017,,
Shan,Loilen,Monghsu c1,Region/State,U Sam San,WLDDP,79,2017,8,M
Shan,Loilen,Monghsu c1,Region/State,Nan San Oo,SNDP,576,2017,157,M
Shan,Loilen,Monghsu c1,Region/State,_invalid,,2529,2017,,
Shan,Loilen,Monghsu c1,Region/State,U Kyaw Khin,NLD,2817,2017,182,M
Shan,Loilen,Monghsu c1,Region/State,U Sai Lin Myat,SNLD,4764,2017,352,M
Shan,Loilen,Monghsu c1,Region/State,_noshow,,13243,2017,,
Shan,Loilen,Monghsu c2,Region/State,U San Mon (aka) Sam Maine,WLDDP,107,2017,3,M
Shan,Loilen,Monghsu c2,Region/State,U Sai Ba Tun,SNDP,502,2017,14,M
Shan,Loilen,Monghsu c2,Region/State,Nan Sint Kham,NLD,685,2017,42,M
Shan,Loilen,Monghsu c2,Region/State,U Sai Kan,USDP,1558,2017,146,M
Shan,Loilen,Monghsu c2,Region/State,_invalid,,1739,2017,,
Shan,Loilen,Monghsu c2,Region/State,Daw Nan Kaung Kham,SNLD,5753,2017,152,F
Shan,Loilen,Monghsu c2,Region/State,_noshow,,9612,2017,,
Sagaing,Monywa,Monywa,Pyithu,Dr. Than Htike Oo,PDP,506,2017,72,M
Sagaing,Monywa,Monywa,Pyithu,U Nyunt Hlaing,NDP,1740,2017,136,M
Sagaing,Monywa,Monywa,Pyithu,_invalid,,1869,2017,,
Sagaing,Monywa,Monywa,Pyithu,U Sein Maung,NUP,2666,2017,314,M
Sagaing,Monywa,Monywa,Pyithu,Dr.Win Myint Aung,USDP,16593,2017,3133,M
Sagaing,Monywa,Monywa,Pyithu,U Nyunt Aung,NLD,95923,2017,6039,M
Sagaing,Monywa,Monywa,Pyithu,_noshow,,130743,2017,,
South Shan State,Taunggyi,NyaungShwe1,Region/State,_invalid,,1435,2017,,
South Shan State,Taunggyi,NyaungShwe1,Region/State,U Thaw Tar,INDP,3199,2017,176,M
South Shan State,Taunggyi,NyaungShwe1,Region/State,U San Shwe,USDP,13237,2017,793,M
South Shan State,Taunggyi,NyaungShwe1,Region/State,U Khin Maung Win,NLD,17204,2017,897,M
South Shan State,Taunggyi,NyaungShwe1,Region/State,_noshow,,27630,2017,,
Yangon,Yangon,Yangon-Amyotha6,Amyotha,U Myint Kyi,DP (Myanmar),415,2017,19,M
Yangon,Yangon,Yangon-Amyotha6,Amyotha,U Thet Tun,NDP,505,2017,26,M
Yangon,Yangon,Yangon-Amyotha6,Amyotha,Daw Nilar Ohn (aka) Daw Htike Eaindrey Oo,Independent,532,2017,45,F
Yangon,Yangon,Yangon-Amyotha6,Amyotha,_invalid,,1119,2017,,
Yangon,Yangon,Yangon-Amyotha6,Amyotha,U Khin Maung Yi (aka) Khaing Maung Yi,NDF,4597,2017,285,M
Yangon,Yangon,Yangon-Amyotha6,Amyotha,U Khin Maung Aye,USDP,10813,2017,1055,M
Yangon,Yangon,Yangon-Amyotha6,Amyotha,Dr.Maung Maung,NLD,75299,2017,3640,M
Yangon,Yangon,Yangon-Amyotha6,Amyotha,_noshow,,251221,2017,,
